,track_name,ひらがな名,image_urls,view_count,喜び,喜びスコアの理由,信頼,信頼スコアの理由,恐れ,恐れスコアの理由,驚き,驚きスコアの理由,悲しみ,悲しみスコアの理由,嫌悪,嫌悪スコアの理由,怒り,怒りスコアの理由,期待,期待スコアの理由,release_date_y
124,寒いね...,さむいね...,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e8373b23c.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e8373b506.jpg']""]",96514,30,歌詞には過去の幸せな思い出や、変わろうとする前向きな姿勢が含まれているが、全体的には悲しみが強調されている。,40,過去の大切な人との関係に対する信頼感が感じられるが、現在の状況ではその信頼が失われているように見える。,50,大切な人を失ったことや、思い出が色褪せることへの恐れが表現されている。,20,驚きの要素は少なく、むしろ静かな受け入れの感情が強い。,80,歌詞全体にわたって、失った人への悲しみや孤独感が強く表現されている。,10,嫌悪感はほとんどなく、むしろ過去の思い出に対する愛情が感じられる。,10,怒りの感情はほとんどなく、悲しみや喪失感が主に表現されている。,40,少しずつ前に進もうとする姿勢や、変わろうとする意志が期待感として表れている。,2008/3/12
125,ひまわりになったら,ひまわりになったら,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e8373b23c.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e8373b506.jpg']""]",121991,60,歌詞には友情や愛情の表現があり、特に『Love な friend』というフレーズが繰り返され、ポジティブな感情が感じられる。,70,『辛い時はもちろん朝まで付き合ってね』という部分から、深い信頼関係が伺える。,30,『虚しさとため息』や『誰か早く止めてよ』といった不安や恐れを感じさせる表現があるが、全体的には少ない。,20,驚きの要素はあまりなく、感情の変化や意外性は少ない。,65,『涙が出る』や『さみしい』といった表現が多く、別れや孤独感が強調されている。,10,嫌悪感を示す直接的な表現はほとんどない。,15,怒りを示す表現は少なく、感情の焦点は悲しみや孤独にある。,50,『夜を越えて逢いに来て欲しい』や『いつまでもあの子のひまわり』といった期待や希望が感じられる。,2008/3/12
126,二人,ふたり,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e8373b23c.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e8373b506.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",532341,20,歌詞には一瞬の喜びや期待が感じられるが、全体的には不安や恐れが強調されている。,15,信頼感はあまり強くなく、むしろ不安や疑念が歌詞の中で表現されている。,70,『怖くなってただろう』や『心震えてく』など、恐れや不安が強く表現されている。,30,驚きの要素は少しあるが、主に感情の揺れ動きに関連している。,60,『後に戻れない』や『帰りの道が見えない』など、悲しみや失望が感じられる表現が多い。,25,嫌悪感は直接的には表現されていないが、少しの不快感が感じられる。,20,怒りはあまり表現されていないが、少しの苛立ちが感じられる。,40,期待感はあるが、それが不安や恐れによって打ち消されている部分が多い。,2008/3/12
127,You & Me both,ゆーあんどみーぼーす,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",74614,70,歌詞には愛や大切な人への思いが表現されており、特に『愛している』というフレーズが喜びを強く感じさせます。,60,『知って欲しい』や『答えて欲しい』という表現から、相手に対する信頼や期待が感じられます。,30,『小さなマイナスは破裂する』という表現が、関係の不安定さや恐れを示唆していますが、全体的には恐れの要素は少ないです。,40,『フライパンの流星群』や『蒸発する水は綺麗』といった比喩的な表現が驚きを感じさせます。,50,『空っぽの頭に響いた』という表現や、愛が一方通行である可能性を示唆する部分が悲しみを感じさせます。,20,歌詞全体に嫌悪感を示す要素は少なく、主に愛や期待が表現されています。,10,怒りを直接示す表現はなく、全体的に穏やかな感情が多いです。,65,『気付いて欲しい』や『知って欲しい』という表現から、相手に対する期待が強く感じられます。,2008/4/2
128,キョウモハレ,きょうもはれ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",113709,20,歌詞全体に明るい要素は少なく、過去の幸せな日々を懐かしむ部分があるが、現在の状況はそれほど喜ばしいものではない。,15,信頼に関する直接的な表現は少なく、むしろ失われた関係や距離感が強調されている。,40,「体中が痺れてく裂けてく」や「心だんだん離れていっても」といった表現から、関係の終わりや孤独への恐れが感じられる。,10,驚きに関する要素はほとんどなく、むしろ予測可能な日常の繰り返しが描かれている。,80,失われた関係や過去の幸せな日々への未練が強く表現されており、全体的に悲しみが支配的な感情である。,25,直接的な嫌悪感は少ないが、自分自身への情けなさや無力感が表現されている。,20,怒りよりも悲しみや諦めが強調されており、怒りの感情はあまり表現されていない。,30,未来を夢見た過去の自分への言及があるが、現在の状況に対する期待感は低い。,2008/4/2
129,秘密,ひみつ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",194453,70,歌詞には愛情や優しさ、出会いの喜びが表現されており、特に『柔らかいキスをして』や『いとおしい』といった表現が喜びを感じさせる。,65,『声を聞かせて』や『親指握って』といった表現から、相手に対する信頼感が伝わる。また、『あたしの秘密をあなたにだけ伝えたい』という部分も信頼を示している。,40,『これ以上想いが募ったら』や『苦しくなる度』といった表現から、感情が制御できなくなることへの恐れが感じられる。,30,驚きの要素は少ないが、『こうして出逢えた事もきっと決まっていた事』という運命的な出会いに対する驚きが少し含まれている。,50,『苦しい忘れ物』や『泣いてる心』といった表現から、別れや孤独感、切なさが感じられる。,20,嫌悪感はほとんど感じられないが、『そっけないふりでごまかす』という部分に少しだけ嫌悪感が含まれている。,15,怒りの要素はほとんどなく、全体的に穏やかで愛情深い内容であるため、スコアは低い。,60,『必ず過ぎてく 優しく切ない』や『忘れない』といった表現から、未来への期待や希望が感じられる。,2008/4/2
130,学校,がっこう,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",111250,80,歌詞には、晴れた気持ちや大好きな人への想いが表現されており、全体的にポジティブな感情が強く感じられる。,70,友達や大好きな人との関係が描かれており、信頼感や安心感が伝わってくる。,20,恐れの感情はあまり強く表現されておらず、むしろ前向きな姿勢が強調されている。,40,日常の中での小さな驚きや変化が描かれているが、驚きの感情が主題ではない。,30,心や体が消えてしまう時のボロボロな状態が少し悲しみを感じさせるが、全体的にはポジティブなトーン。,10,嫌悪感を示す表現はほとんどなく、むしろ愛情や前向きな感情が強調されている。,10,怒りの感情はほとんど表現されておらず、全体的に穏やかなトーン。,75,これからのことや大好きな人との関係に対する期待感が強く表現されている。,2008/4/2
131,星電話,ほしでんわ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",119126,30,歌詞には優しい顔を思い出すという表現があり、過去の良い思い出を示唆しているが、全体的には喜びよりも他の感情が強い。,40,過去の相手に対する信頼感が感じられるが、現在の状況ではその信頼が揺らいでいるように見える。,20,恐れの感情はあまり強く表現されていないが、過去の関係が終わったことへの不安が少し感じられる。,10,驚きの要素はほとんどなく、歌詞は過去の出来事を振り返る静かなトーンで進行している。,70,過去の思い出や失われた関係に対する悲しみが強く表現されている。,30,自分自身や過去の出来事に対する嫌悪感が少し感じられるが、他の感情ほど強くはない。,20,怒りの感情はあまり表現されていないが、過去の出来事に対するわずかな不満が感じられる。,25,過去の関係に対する期待感はあるが、現在の状況に対する期待はあまり感じられない。,2008/4/2
132,恋道,こいみち,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",145713,70,歌詞には、出会った頃の幸せな思い出や、愛を感じる瞬間が描かれており、喜びの感情が強く表現されています。,65,遠距離を埋めるための言葉や写真、声が信頼の象徴として描かれており、信頼感が感じられます。,50,離れていることによる不安や心細さが歌詞に含まれており、恐れの感情が存在します。,40,愛を感じた瞬間が夢のように思えるという表現があり、驚きの感情が少し含まれています。,60,離れていることによる心細さや不安が繰り返し表現されており、悲しみの感情が強く感じられます。,20,嫌悪の感情はほとんど表現されておらず、全体的にポジティブな感情が多いです。,30,直接的な怒りの表現は少ないですが、伝えられないもどかしさが少し怒りに繋がっている可能性があります。,75,次はちゃんと好きと言おうという前向きな決意や、愛を伝え合うことへの期待が強く表現されています。,2008/4/2
133,ウミウサギ,うみうさぎ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",116658,70,歌詞には愛情や親密さを感じさせる表現が多く、特に『君はあたし あたしは君』というフレーズが喜びを強調しています。,80,『ずっと一緒にいようか?』という言葉や、互いに寄り添う様子が信頼感を強く示しています。,20,『暗くても怖くなんかない』という表現が恐れを否定しており、恐れのスコアは低いです。,60,『君の言葉にとても驚いて』という直接的な表現が驚きの感情を示しています。,30,歌詞全体はポジティブですが、『遙か彼方を泳いできた波』のような表現に少しの悲しみが感じられます。,10,歌詞には嫌悪を示す要素がほとんどなく、スコアは非常に低いです。,10,怒りを示す表現は見当たらず、全体的に穏やかなトーンです。,75,『いつか自然に心が気が付いたとき 辿り着けばいい』という未来への期待感が強く表れています。,2008/4/2
134,約束,やくそく,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",156437,60,歌詞には再会の希望や幸せな思い出が描かれており、特に『幸せも痛みも永遠の約束』というフレーズが喜びを感じさせます。,70,『その日まで必ず元気でいてね』というフレーズから、再会を信じている気持ちが伝わり、信頼感が強く表れています。,30,別れの寂しさや不安が少し感じられるものの、再会の希望が強いため、恐れのスコアは低めです。,20,歌詞全体に驚きの要素は少なく、むしろ穏やかで感傷的なトーンが支配的です。,65,別れや過去の思い出に対する切なさが強く表現されており、『涙の冷たさ手の温もり』などのフレーズが悲しみを強調しています。,10,歌詞には嫌悪感を抱かせる要素はほとんどなく、むしろ美しい思い出や感情が描かれています。,5,怒りを感じさせる要素はほとんどなく、全体的に穏やかで感傷的な内容です。,75,『いつかまた逢える日が来るでしょう』というフレーズが再会への強い期待を表しており、期待感が高いです。,2008/4/2
135,ハルとアキ,はるとあき,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e513d.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29cb3e5363.jpg']""]",95167,40,歌詞には愛や思い出に対する感謝の気持ちが含まれており、特に『愛してた』という表現が喜びを示していますが、全体的には切なさが強調されています。,50,『二人で決めた事』や『あなたの足音も大きく大きくあたしを包んだ』という表現から、信頼感が感じられます。,30,恐れの感情はあまり強く表現されていませんが、『いなくなった』という部分に少し不安や恐れが含まれています。,20,驚きの感情はあまり強調されていませんが、『例えば』という変化に対する気づきが少し驚きを示しています。,70,『儚くて愛しくて1秒過去にも もう戻れなくて』や『いなくなった』という表現が、失ったものへの悲しみを強く表現しています。,10,嫌悪の感情はほとんど表現されていません。歌詞全体が愛や思い出に焦点を当てているためです。,10,怒りの感情はほとんど表現されていません。歌詞はむしろ切なさや愛情に満ちています。,30,『遠くあなたの事も包んでいたらいいのに』という表現に、未来へのわずかな期待が感じられますが、全体的には過去への思いが強いです。,2008/4/2
136,水とシャンパン,みずとしゃんぱん,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29a67efebc.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29a67f00d7.jpg']""]",75894,20,歌詞全体において、喜びの感情はあまり強調されていませんが、愛情や一緒にいたいという願望が一部に見られます。,15,信頼に関する直接的な表現は少なく、むしろすれ違いや不安が強調されています。,60,「さようならと言われないかと」や「終わりの足音」といった表現から、関係の終わりに対する恐れが感じられます。,10,驚きに関する具体的な表現は少なく、感情の変化に対する驚きはあまり感じられません。,75,「心が痛い」や「涙流さずにいられなくて」といった表現から、深い悲しみが伝わってきます。,30,嫌悪感は直接的には表現されていませんが、すれ違いや心変わりに対する不快感が含まれています。,25,怒りの感情はあまり強調されていませんが、すれ違いに対する不満が少し感じられます。,40,「もっと一緒にいたかったのに」といった表現から、関係の改善や未来への期待が感じられますが、全体的には不安が勝っています。,2008/7/23
137,線香花火,せんこうはなび,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29a67efebc.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29a67f00d7.jpg']""]",166449,70,歌詞には過去の楽しい思い出や愛しい瞬間が描かれており、特に『素敵な想い出』や『愛しい』という表現が喜びを示しています。,60,『隣で重ねた約束』や『沢山の夢をくれた』という表現から、過去の関係における信頼感が感じられます。,30,恐れの感情はあまり強く表現されていませんが、『最後だと知っていたなら』という後悔のニュアンスに少し恐れが含まれています。,20,驚きの感情はあまり強調されていませんが、『最後だと知っていたなら』という部分に少し驚きが含まれています。,80,『涙は空に弾けた』や『切ないキス』など、別れや後悔の感情が強く表現されており、悲しみが大きく感じられます。,10,嫌悪の感情はほとんど表現されておらず、全体的にポジティブな思い出が中心です。,20,『痛い喧嘩』という表現に少し怒りが含まれていますが、全体的には愛しい思い出として捉えられています。,40,『沢山の夢をくれた』という表現から、過去の関係に対する期待感が感じられますが、現在の期待はあまり強調されていません。,2008/7/23
138,KissHug,きすはぐ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29a67efebc.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29a67f00d7.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc94d8.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc973d.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",794907,70,歌詞には愛情や思い出に関するポジティブな表現が多く、特に『あなたが好きだったの』や『傍にいると誓った証』など、愛情の深さが感じられるため。,65,『傍にいると誓った証』というフレーズから、相手に対する信頼感や絆の強さが伝わるため。,30,『壊れても仕方ない程に熱い』という表現から、関係が壊れることへの不安が少し感じられるため。,20,歌詞全体に驚きの要素は少なく、むしろ穏やかで感情的な流れが続いているため。,50,『泣き顔怒った顔』や『影』といった表現から、過去の思い出や失われた時間への切なさが感じられるため。,10,歌詞には嫌悪感を示す表現はほとんどなく、全体的に愛情や思い出に焦点が当てられているため。,15,『怒った顔』という表現があるものの、全体的に怒りを強調する内容ではないため。,60,『あなたの傍にずっと居たい』という願望や、未来への思いが感じられるため。,2008/7/23
139,milk,みるく,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2995a044c2.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2995a046f2.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc94d8.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc973d.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b883e.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b8a24.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",1076472,70,歌詞には恋に落ちることや、心躍る世界がすぐ隣にあるというポジティブな要素が含まれており、全体的に幸せや喜びを感じさせる表現が多い。,60,歌詞には『ひとりじゃ生きてゆけない』というフレーズがあり、他者とのつながりや信頼を感じさせる部分がある。,30,『この気持ち冷めてしまう前に』という表現から、感情が変わってしまうことへの不安や恐れが少し感じられる。,40,『奇跡は一度だけ起こった』というフレーズから、予期しない出来事や驚きの感情が含まれている。,20,全体的にポジティブなトーンが多く、悲しみを直接的に表現する部分は少ないが、すれ違いや声をかけられなかったことに対する軽い悲しみがある。,10,『曖昧なお辞儀は逆に嫌』という部分に嫌悪感が少し含まれているが、全体的には少ない。,10,怒りを直接的に表現する部分はほとんどなく、全体的に穏やかなトーンであるため、スコアは低い。,80,『未来は変わるよ』や『もっと心躍る世界が』といったフレーズから、未来への期待や希望が強く感じられる。,2009/2/18
140,嘆きのキス,なげきのきす,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2995a044c2.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2995a046f2.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc94d8.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc973d.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",226671,30,歌詞には大切な思い出や宝物としての存在が描かれており、喜びの要素が含まれているが、全体的には切なさが強調されている。,40,歌詞には『誰よりも想い続ける』というフレーズがあり、信頼や絆の強さが感じられるが、別れの要素も含まれているため、スコアは中程度。,20,恐れの感情はあまり強調されていないが、別れや不確実性に対する不安が少し感じられる。,10,驚きの要素はほとんどなく、感情の変化や予期しない出来事は描かれていない。,70,別れや涙、嘆きのキスといった悲しみを強く感じさせる要素が多く含まれている。,10,嫌悪の感情はほとんどなく、むしろ優しさや愛情が描かれている。,10,怒りの感情はほとんどなく、歌詞全体は穏やかで切ないトーンである。,30,『今も昔も変わらぬ大きな糧』というフレーズから、未来への希望や期待が少し感じられるが、全体的には過去への思いが強い。,2009/2/18
141,なんて一日,なんていちにち,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2995a044c2.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2995a046f2.jpg']""]",82968,70,歌詞には、日常の中で新しいことを試みたり、未来に対する前向きな姿勢が見られるため、喜びのスコアは高めです。,60,「声を聞かせて」や「伝えて欲しい」といったフレーズから、他者とのつながりや信頼を求める感情が感じられます。,40,「体に流れる血の色が赤じゃなかったらどうしよう」といった不安を示す部分があるため、恐れのスコアは中程度です。,50,日常の中での新しい発見や変化を試みる姿勢があり、驚きの要素が含まれています。,50,「過ぎてゆく時に泣いて振り向くより」といったフレーズから、過去の出来事に対する悲しみが感じられます。,30,嫌悪を直接示す表現は少ないですが、「苦しい程すりむいた」という部分に若干の嫌悪感が含まれています。,20,歌詞全体に怒りを示す表現はほとんどなく、スコアは低めです。,80,「少しずつまた明日は違うのさ」といった未来への期待や希望が強く表現されているため、期待のスコアは高いです。,2009/2/18
142,キスが巡る,きすがめぐる,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2962da07a2.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2962da09bc.jpg']""]",74873,70,歌詞には恋愛の幸福感や夢のような時間を過ごしている様子が描かれており、全体的に喜びの感情が強く表現されています。,60,歌詞には相手と一緒にいることの安心感や信頼感が感じられる部分があり、特に『あなたの側にいる時のあたしを誰も知らない』という表現から信頼が伺えます。,30,歌詞には恐れの感情はあまり強く表現されていませんが、『離れないで』という部分に少し不安や恐れが含まれている可能性があります。,40,『知らない感情の端に指が触れてしまった』という表現から、新しい感情に対する驚きが感じられます。,20,全体的にポジティブな感情が多く、悲しみの感情はあまり強く表現されていませんが、『新しい涙が出る』という部分に少し悲しみが含まれている可能性があります。,10,歌詞には嫌悪感を示す表現はほとんどなく、全体的にポジティブな感情が強調されています。,10,怒りの感情はほとんど表現されておらず、歌詞の中でネガティブな感情は少ないです。,50,『明日も胸を詰まらせたい』という表現から、未来に対する期待感が感じられます。,2010/2/3
143,Do you think about me?,どぅーゆーしんくあばうとみー?,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2962da07a2.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2962da09bc.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",141559,20,歌詞全体に喜びの要素は少なく、むしろ不安や悲しみが強調されているが、恋に落ちた初期の気持ちを忘れたくないという部分にわずかな喜びが感じられる。,15,信頼の欠如がテーマの一つであり、相手に対する不信感が強く表現されているため、信頼のスコアは低い。,60,相手の気持ちが見えなくなり、関係が壊れることへの恐れが歌詞に表れている。,30,相手の行動や気持ちに対する驚きや戸惑いがあるが、驚き自体が主題ではないためスコアは中程度。,80,関係の変化や相手の気持ちが見えなくなったことに対する深い悲しみが歌詞全体にわたって表現されている。,40,相手の行動に対する嫌悪感や、自分自身に対する嫌悪感が感じられるが、怒りほど強くはない。,50,相手の行動や自分の状況に対する怒りが表現されているが、悲しみや恐れほど強くはない。,25,関係の改善や過去の良い時期への期待がわずかに感じられるが、全体的には不安や悲しみが強い。,2010/2/3
144,戻れない明日,もどれないあした,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2962da07a2.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2962da09bc.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc94d8.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc973d.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",239904,60,歌詞には、隣で笑っていたいという願望や、誰にも奪えない大切なものを持っていることが表現されており、これが喜びの感情を示しています。,70,歌詞には、見守っていて、包んで、離れないでいてというフレーズがあり、信頼感が強く表現されています。,40,心に生まれた影や、涙が出ることが恐れの感情を示唆していますが、全体的には恐れよりも他の感情が強調されています。,30,驚きの感情はあまり強く表現されておらず、歌詞の中での変化や予期しない出来事は少ないです。,65,想い出が人を切なくさせることや、悲しくなった時に泣くことが許されているという表現が悲しみを示しています。,20,嫌悪の感情はほとんど表現されておらず、歌詞全体はむしろポジティブな感情に焦点を当てています。,25,怒りの感情は直接的には表現されていませんが、心の影や涙が出ることが若干の怒りを示唆している可能性があります。,75,願いが叶う日を祈ることや、一緒に見たい未来についての言及が期待の感情を強く表現しています。,2010/2/3
145,指先,ゆびさき,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc94d8.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc973d.jpg']""]",105138,20,歌詞全体に喜びの要素は少なく、過去の幸せな日々を思い出す部分にわずかな喜びが感じられる。,15,信頼の要素はほとんどなく、むしろ関係の終わりに対する不安が強調されている。,60,声をなくし息が止まりそうな描写や、ガラスの箱の中で叫ぶ様子が恐れを感じさせる。,30,最後の日にキスをすることへの驚きや、関係の終わりに対する戸惑いが表現されている。,85,歌詞全体に悲しみが強く表現されており、特に関係の終わりや孤独感が強調されている。,40,自分自身への嫌悪感や、苦しみを感じる自分を嫌う部分がある。,25,怒りの要素は少ないが、関係の終わりに対する不満や苛立ちがわずかに感じられる。,35,明日へのわずかな期待や、風が吹いて涼しくなることへの希望が感じられる。,2010/3/31
146,あの子の夢,あのこのゆめ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc94d8.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2954dc973d.jpg']""]",122451,30,歌詞には夢や希望に関する言及があるが、全体的に喜びの感情は控えめである。,40,約束や素直に向き合いたいという表現が信頼を示唆しているが、強い信頼感は感じられない。,50,物音に怯えるという表現が恐れを示しているが、他の感情とバランスが取れている。,20,驚きに関する直接的な表現は少なく、スコアは低めである。,60,胸が痛い、苦しい、馴染めないといった表現が悲しみを強く示している。,30,些細な言葉が刺さるという表現が嫌悪感を示しているが、全体的には控えめである。,20,怒りを直接示す表現は少なく、スコアは低めである。,50,夢や約束に関する言及が期待感を示しているが、他の感情とバランスが取れている。,2010/3/31
